Wort_1,Wort_2,Madoo_Nutzername,Datei_T_Spalte1,Datei_T_Spalte2,Datei_P_Spalte2,Datei_P_Spalte2_1,Kategorie
Kanne,Tanne,Kristen,thomas_kanne,thomas_tanne,,,I
Kopf,Topf,Kristen,thomas_kopf,thomas_topf,,,I
Katze,Tatze,Kristen,thomas_katze,thomas_tatze,,,I
Kasse,Tasse,Kristen,thomas_kasse,thomas_tasse,,,I
Kasten,Tasten,Kristen,thomas_kasten,thomas_tasten,,,I
Kot,Tot,Kristen,thomas_kot,thomas_tot,,,I
Kante,Tante,Kristen,thomas_kante,thomas_tante,,,I
kaufen,taufen,Kristen,thomas_kaufen,thomas_taufen,,,I
kicken,ticken,Kristen,thomas_kicken,thomas_ticken,,,I
Kalk,kalt,Kristen,thomas_kalk,thomas_kalt,,,F
Kaff,taff,Kristen,thomas_kaff,thomas_taff,,,I
Kinder,Tinder,Kristen,thomas_kinder,thomas_tinder,,,I
Lacke,Latte,Kristen,thomas_lacke,thomas_latte,,,M
Locke,Lotte,Kristen,thomas_locke,thomas_locke,,,M
packen,patten,Kristen,thomas_packen,thomas_patten,,,M
kahl,Tal,Kristen,thomas_kahl,thomas_tal,,,I
Recken,retten,Kristen,thomas_recken,thomas_retten,,,M
schocken,Schotten,Kristen,thomas_schocken,thomas_schotten,,,M
trocken,trotten,Kristen,thomas_trocknen,thomas_trotten,,,M
Volk,Volt,Kristen,thomas_volk,thomas_volt,,,F
Wecken,wetten,Kristen,thomas_wecken,thomas_wetten,,,M
wirken,wirten,Kristen,thomas_wirken,thomas_wirten,,,M
Koma,Thoma,Kristen,thomas_koma,thomas_thoma,,,I
